"platform","source_file","package_file","hash_match","source_sha256","package_sha256"
"portal","TGS Internal Portal - Wellness Venue TGS Internal V2.html","portal-pages/TGS Internal Portal - Wellness Venue TGS Internal V2.html","True","E15A5BEABF423CAB5D2FCF28D5CB7E7F2E7EFC761507F7EA5737F0B575606F36","E15A5BEABF423CAB5D2FCF28D5CB7E7F2E7EFC761507F7EA5737F0B575606F36"
"portal","TGS Internal Portal Analytics.html","portal-pages/TGS Internal Portal Analytics.html","True","DD83D1080BCCA888125219FA74442E098C7D700433DA34A42C7E07B7AF6EF169","DD83D1080BCCA888125219FA74442E098C7D700433DA34A42C7E07B7AF6EF169"
"portal","TGS Internal Portal Enquiries Dashboard.html","portal-pages/TGS Internal Portal Enquiries Dashboard.html","True","CC96E8860C72D19D34C62E9C83C0003385B6060EF27A265E7D79525764EB5CB7","CC96E8860C72D19D34C62E9C83C0003385B6060EF27A265E7D79525764EB5CB7"
"portal","TGS Internal Portal Home Page V2.html","portal-pages/TGS Internal Portal Home Page V2.html","True","BD248D0E1C38F33810A82481C3027C7C74C51D2341F05F6E8D83E0B06811A4CD","BD248D0E1C38F33810A82481C3027C7C74C51D2341F05F6E8D83E0B06811A4CD"
"portal","TGS Internal Portal Payments.html","portal-pages/TGS Internal Portal Payments.html","True","DFC2CC9B47C44600C41A6604464667867184B085718CFC0DCBF8CAAA2AD8B0DE","DFC2CC9B47C44600C41A6604464667867184B085718CFC0DCBF8CAAA2AD8B0DE"
"portal","TGS Internal Portal Sanctum Journal.html","portal-pages/TGS Internal Portal Sanctum Journal.html","True","0FFD3F61EEDAEF7853C4CCB00B28190283C9F1825AF28FD9BCA536F1386EC96F","0FFD3F61EEDAEF7853C4CCB00B28190283C9F1825AF28FD9BCA536F1386EC96F"
"portal","TGS Internal Portal Settings.html","portal-pages/TGS Internal Portal Settings.html","True","C6EE153B2348E3E0771654ABB269F8E127C31B895DD4CE47432F2CD66BC8A254","C6EE153B2348E3E0771654ABB269F8E127C31B895DD4CE47432F2CD66BC8A254"
"portal","TGS Internal Portal Subscriptions.html","portal-pages/TGS Internal Portal Subscriptions.html","True","5D6D24E209F732E913519784A81E41EAACD787B023C4150A7AE7B9CC05E3B79C","5D6D24E209F732E913519784A81E41EAACD787B023C4150A7AE7B9CC05E3B79C"
"portal","TGS Internal Portal The Wellness Edit.html","portal-pages/TGS Internal Portal The Wellness Edit.html","True","68148A37E0571F0526558CE8BC77838A6C15668C0C772FE38613983964A9F696","68148A37E0571F0526558CE8BC77838A6C15668C0C772FE38613983964A9F696"
"portal","TGS Internal Portal Users.html","portal-pages/TGS Internal Portal Users.html","True","798901F4061404F2B5CC44C1DF95ECFB6043F3E84A9AF298365199FBBF287A51","798901F4061404F2B5CC44C1DF95ECFB6043F3E84A9AF298365199FBBF287A51"
"portal","TGS Internal Portal Venue Owners General Dashboard.html","portal-pages/TGS Internal Portal Venue Owners General Dashboard.html","True","087C7F8B6B563CC40C339A071F6DB15561B9E51E8FBECA8A82CE6E2F765F66D4","087C7F8B6B563CC40C339A071F6DB15561B9E51E8FBECA8A82CE6E2F765F66D4"
"portal","TGS Internal Portal Venues Page V2.html","portal-pages/TGS Internal Portal Venues Page V2.html","True","83E99866DA63C96196F85A8DEAA908CBBC7EAAF1F1A2BFD7C6579C80A7BF60FF","83E99866DA63C96196F85A8DEAA908CBBC7EAAF1F1A2BFD7C6579C80A7BF60FF"
"portal","TGS_Internal_Portal_-_Retreat_Venue_Overview_Tab_V3.html","portal-pages/TGS_Internal_Portal_-_Retreat_Venue_Overview_Tab_V3.html","True","6AB3ADD6578A7251CD048EC44B8FB091914DD0DBC6A226A7886E3769EF85576B","6AB3ADD6578A7251CD048EC44B8FB091914DD0DBC6A226A7886E3769EF85576B"
"portal","TGS_Internal_Portal_-_Wellness_Venue_Overview_V3.html","portal-pages/TGS_Internal_Portal_-_Wellness_Venue_Overview_V3.html","True","76CA48B88903132FF491EFE03A75D75E4C231CE22CDADCDBCD4696E3C284BECE","76CA48B88903132FF491EFE03A75D75E4C231CE22CDADCDBCD4696E3C284BECE"
